app_name,initial_avg_cpu_80,limited_avg_cpu_80,cpu_usage_change_80,initial_avg_cpu_50,limited_avg_cpu_50,cpu_usage_change_50,initial_avg_cpu,limited_avg_cpu_30,cpu_usage_change_30
ScreenTimeWidgetExtension,0.0,0.16,0.16,0.0,,,0.0,0.0,0.0
ShareSheetUI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShipIt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShortcutsWidgetExtension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SidecarRelay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Siri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SiriNCService,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotlight,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.06000000000000001,0.06000000000000001
StatusKitAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SystemUIServer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TextInputMenuAgent,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04
UIKitSystem,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.02
USBAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UniversalControl,0.0,0.13999999999999999,0.13999999999999999,0.0,0.16,0.16,0.0,0.22000000000000003,0.22000000000000003
UsageTrackingAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16
UserEventAgent,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.02
UserNotificationCenter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VTDecoderXPCService,0.0,0.25,0.25,0.0,0.15,0.15,0.0,0.21666666666666667,0.21666666666666667
ViewBridgeAuxiliary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
WallpaperAgent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WallpaperImageExtension,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WeatherWidget,0.08,0.1,0.020000000000000004,0.08,0.1,0.020000000000000004,0.08,0.08,0.0
Web App,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.06000000000000001,0.06000000000000001
WhatsApp,0.1,0.16,0.06,0.1,0.96,0.86,0.1,0.6,0.5
WiFiAgent,0.02,0.02,0.0,0.02,0.02,0.0,0.02,0.02,0.0
WiFiVelocityAgent,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
WindowManager,0.0,0.14,0.14,0.0,0.2,0.2,0.0,0.22000000000000003,0.22000000000000003
Wondershare Filmora Mac,6.62,7.62,1.0,6.62,8.38,1.7600000000000007,6.62,7.58,0.96
YouTube,0.02,0.0,-0.02,0.02,0.08,0.06,0.02,0.04,0.02
YouTube Helper,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01
YouTube Helper (GPU),0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.26,0.26
YouTube Helper (Renderer),0.14,0.11333333333333333,-0.026666666666666686,0.14,0.38,0.24,0.14,0.4266666666666667,0.2866666666666667
accountsd,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.04,0.04
akd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appstorecomponentsd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assistant_service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assistantd,0.0,0.02,0.02,0.0,0.04,0.04,0.0,0.0,0.0
audioaccessoryd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avconferenced,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0
bash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bluetoothuserd,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
businessservicesd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calaccessd,0.0,,,0.0,0.0,0.0,0.0,0.02,0.02
callservicesd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdpd,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
cfprefsd,0.0,0.04,0.04,0.0,0.02,0.02,0.0,0.04,0.04
chrome_crashpad_handler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chronod,0.02,0.02,0.0,0.02,0.04,0.02,0.02,0.06000000000000001,0.04000000000000001
cloudd,0.02,0.18,0.16,0.02,0.06000000000000001,0.04000000000000001,0.02,0.18,0.16
com.apple.CloudDocs.iCloudDriveFileProvider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
com.apple.Safari.History,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
com.apple.Safari.SafeBrowsing.Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
com.apple.Safari.SearchHelper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
com.apple.SafariPlatformSupport.Helper,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0
